"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Ada County, Idaho","392,365","392,372","393,354","401,262","408,862","415,951","425,471","432,862","444,486","456,548","468,764","481,587"
"Adams County, Idaho","3,976","3,978","3,962","3,981","3,908","3,863","3,883","3,891","3,941","4,127","4,234","4,294"
"Bannock County, Idaho","82,839","82,842","83,020","83,641","83,755","83,455","83,536","84,184","84,676","85,482","86,674","87,808"
"Bear Lake County, Idaho","5,986","5,986","5,969","5,956","5,892","5,948","5,926","5,879","5,927","6,023","6,044","6,125"
"Benewah County, Idaho","9,285","9,283","9,290","9,173","9,126","9,030","9,032","8,996","9,021","9,157","9,218","9,298"
"Bingham County, Idaho","45,607","45,605","45,765","45,893","45,510","45,423","45,214","45,057","45,315","45,884","46,129","46,811"
"Blaine County, Idaho","21,376","21,377","21,295","21,083","21,127","21,325","21,455","21,636","22,062","22,373","22,771","23,021"
"Boise County, Idaho","7,028","7,027","7,005","6,986","6,790","6,720","6,779","6,963","7,095","7,347","7,655","7,831"
"Bonner County, Idaho","40,877","40,877","40,902","40,782","40,347","40,525","41,289","41,600","42,357","43,654","44,705","45,739"
"Bonneville County, Idaho","104,234","104,294","104,675","105,813","106,764","107,369","108,236","109,849","112,118","114,488","116,444","119,062"
"Boundary County, Idaho","10,972","10,972","10,999","10,823","10,817","10,853","10,956","11,299","11,701","11,965","12,016","12,245"
"Butte County, Idaho","2,891","2,893","2,915","2,833","2,760","2,667","2,658","2,566","2,572","2,585","2,587","2,597"
"Camas County, Idaho","1,117","1,117","1,116","1,115","1,085","1,043","1,054","1,070","1,082","1,096","1,121","1,106"
"Canyon County, Idaho","188,923","188,922","189,347","191,354","193,734","198,590","202,440","206,842","211,381","216,858","223,236","229,849"
"Caribou County, Idaho","6,963","6,963","6,974","6,844","6,771","6,787","6,794","6,733","6,867","6,973","7,037","7,155"
"Cassia County, Idaho","22,952","22,964","23,080","23,106","23,263","23,344","23,503","23,499","23,479","23,650","23,791","24,030"
"Clark County, Idaho","982","982","980","954","884","879","889","886","870","879","851","845"
"Clearwater County, Idaho","8,761","8,761","8,727","8,609","8,579","8,568","8,561","8,554","8,651","8,646","8,758","8,756"
"Custer County, Idaho","4,368","4,366","4,357","4,325","4,327","4,225","4,132","4,059","4,084","4,135","4,250","4,315"
"Elmore County, Idaho","27,038","27,040","27,121","26,221","26,287","26,267","26,226","25,826","26,137","26,881","27,362","27,511"
"Franklin County, Idaho","12,786","12,786","12,781","12,810","12,798","12,802","12,910","12,955","13,320","13,467","13,704","13,876"
"Fremont County, Idaho","13,242","13,237","13,225","13,109","12,966","12,872","12,803","12,812","12,914","13,122","13,155","13,099"
"Gem County, Idaho","16,719","16,719","16,687","16,692","16,630","16,569","16,646","16,685","16,959","17,311","17,587","18,112"
"Gooding County, Idaho","15,464","15,472","15,471","15,355","15,250","15,169","15,086","15,188","15,135","15,121","15,116","15,179"
"Idaho County, Idaho","16,267","16,267","16,310","16,462","16,444","16,249","16,275","16,301","16,236","16,373","16,476","16,667"
"Jefferson County, Idaho","26,140","26,144","26,223","26,313","26,641","26,804","26,944","27,127","27,830","28,439","29,405","29,871"
"Jerome County, Idaho","22,374","22,355","22,442","22,520","22,578","22,768","22,926","22,971","23,433","23,768","24,066","24,412"
"Kootenai County, Idaho","138,494","138,466","138,848","140,932","142,084","143,897","146,529","149,367","153,019","157,320","161,209","165,697"
"Latah County, Idaho","37,244","37,243","37,255","37,855","38,094","38,220","38,517","38,796","39,050","39,741","39,829","40,108"
"Lemhi County, Idaho","7,936","7,936","7,953","7,986","7,768","7,716","7,724","7,737","7,709","7,829","7,932","8,027"
"Lewis County, Idaho","3,821","3,821","3,820","3,806","3,820","3,805","3,813","3,791","3,846","3,884","3,832","3,838"
"Lincoln County, Idaho","5,208","5,206","5,206","5,132","5,262","5,329","5,331","5,307","5,303","5,376","5,398","5,366"
"Madison County, Idaho","37,536","37,548","37,592","37,908","37,662","37,527","37,900","37,989","38,972","39,370","39,261","39,907"
"Minidoka County, Idaho","20,069","20,055","20,083","20,207","20,152","20,400","20,339","20,430","20,613","20,722","20,719","21,039"
"Nez Perce County, Idaho","39,265","39,270","39,315","39,438","39,504","39,798","39,841","39,995","40,136","40,289","40,256","40,408"
"Oneida County, Idaho","4,286","4,286","4,290","4,233","4,225","4,257","4,178","4,248","4,296","4,389","4,462","4,531"
"Owyhee County, Idaho","11,526","11,526","11,473","11,376","11,409","11,394","11,288","11,288","11,364","11,618","11,669","11,823"
"Payette County, Idaho","22,623","22,622","22,637","22,547","22,675","22,550","22,754","22,790","22,888","23,163","23,507","23,951"
"Power County, Idaho","7,817","7,819","7,872","7,780","7,830","7,791","7,729","7,687","7,681","7,606","7,700","7,681"
